"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_016743855.1_ASM1674385v1_genomic.fna","GCF_016864255.1_ASM1686425v1_genomic.fna","GCF_017584065.1_ASM1758406v1_genomic.fna","GCF_017603725.1_ASM1760372v1_genomic.fna","GCF_017815655.1_ASM1781565v1_genomic.fna","GCF_017815675.1_ASM1781567v1_genomic.fna","GCF_017815695.1_ASM1781569v1_genomic.fna","GCF_017897965.1_ASM1789796v1_genomic.fna","GCF_017898005.1_ASM1789800v1_genomic.fna","GCF_017898025.1_ASM1789802v1_genomic.fna","GCF_018219285.1_ASM1821928v1_genomic.fna","GCF_018219325.1_ASM1821932v1_genomic.fna","GCF_018279145.1_ASM1827914v1_genomic.fna","GCF_018516845.1_ASM1851684v1_genomic.fna","GCF_018516925.1_ASM1851692v1_genomic.fna","GCF_018517045.1_ASM1851704v1_genomic.fna","GCF_018517065.1_ASM1851706v1_genomic.fna","GCF_018517085.1_ASM1851708v1_genomic.fna","GCF_018517105.1_ASM1851710v1_genomic.fna","GCF_018517185.1_ASM1851718v1_genomic.fna"
"group_1009","","hypothetical protein","20","20","1","1","6699","","","","1775","1787","1775","GCF_016743855.1_ASM1674385v1_genomic.fna_00741","GCF_016864255.1_ASM1686425v1_genomic.fna_01882","GCF_017584065.1_ASM1758406v1_genomic.fna_01942","GCF_017603725.1_ASM1760372v1_genomic.fna_01922","GCF_017815655.1_ASM1781565v1_genomic.fna_01929","GCF_017815675.1_ASM1781567v1_genomic.fna_01893","GCF_017815695.1_ASM1781569v1_genomic.fna_01912","GCF_017897965.1_ASM1789796v1_genomic.fna_01976","GCF_017898005.1_ASM1789800v1_genomic.fna_01976","GCF_017898025.1_ASM1789802v1_genomic.fna_00371","GCF_018219285.1_ASM1821928v1_genomic.fna_00793","GCF_018219325.1_ASM1821932v1_genomic.fna_01869","GCF_018279145.1_ASM1827914v1_genomic.fna_00142","GCF_018516845.1_ASM1851684v1_genomic.fna_00796","GCF_018516925.1_ASM1851692v1_genomic.fna_01809","GCF_018517045.1_ASM1851704v1_genomic.fna_00795","GCF_018517065.1_ASM1851706v1_genomic.fna_00738","GCF_018517085.1_ASM1851708v1_genomic.fna_00749","GCF_018517105.1_ASM1851710v1_genomic.fna_01894","GCF_018517185.1_ASM1851718v1_genomic.fna_01844"
"group_1016","","Secreted 45 kDa protein","20","20","1","1","5764","","","","1538","1607","1575","GCF_016743855.1_ASM1674385v1_genomic.fna_02352","GCF_016864255.1_ASM1686425v1_genomic.fna_02574","GCF_017584065.1_ASM1758406v1_genomic.fna_02570","GCF_017603725.1_ASM1760372v1_genomic.fna_02488","GCF_017815655.1_ASM1781565v1_genomic.fna_02536","GCF_017815675.1_ASM1781567v1_genomic.fna_02457","GCF_017815695.1_ASM1781569v1_genomic.fna_02474","GCF_017897965.1_ASM1789796v1_genomic.fna_02544","GCF_017898005.1_ASM1789800v1_genomic.fna_02544","GCF_017898025.1_ASM1789802v1_genomic.fna_01015","GCF_018219285.1_ASM1821928v1_genomic.fna_02515","GCF_018219325.1_ASM1821932v1_genomic.fna_02535","GCF_018279145.1_ASM1827914v1_genomic.fna_01024","GCF_018516845.1_ASM1851684v1_genomic.fna_02342","GCF_018516925.1_ASM1851692v1_genomic.fna_02393","GCF_018517045.1_ASM1851704v1_genomic.fna_02473","GCF_018517065.1_ASM1851706v1_genomic.fna_02421","GCF_018517085.1_ASM1851708v1_genomic.fna_02293","GCF_018517105.1_ASM1851710v1_genomic.fna_02474","GCF_018517185.1_ASM1851718v1_genomic.fna_02427"
"cpdA_1","","3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA","20","20","1","1","4527","","","","887","899","897","GCF_016743855.1_ASM1674385v1_genomic.fna_00113","GCF_016864255.1_ASM1686425v1_genomic.fna_00122","GCF_017584065.1_ASM1758406v1_genomic.fna_00127","GCF_017603725.1_ASM1760372v1_genomic.fna_00117","GCF_017815655.1_ASM1781565v1_genomic.fna_00115","GCF_017815675.1_ASM1781567v1_genomic.fna_00114","GCF_017815695.1_ASM1781569v1_genomic.fna_00114","GCF_017897965.1_ASM1789796v1_genomic.fna_00118","GCF_017898005.1_ASM1789800v1_genomic.fna_00118","GCF_017898025.1_ASM1789802v1_genomic.fna_01347","GCF_018219285.1_ASM1821928v1_genomic.fna_00112","GCF_018219325.1_ASM1821932v1_genomic.fna_00138","GCF_018279145.1_ASM1827914v1_genomic.fna_00757","GCF_018516845.1_ASM1851684v1_genomic.fna_00114","GCF_018516925.1_ASM1851692v1_genomic.fna_00114","GCF_018517045.1_ASM1851704v1_genomic.fna_00111","GCF_018517065.1_ASM1851706v1_genomic.fna_00114","GCF_018517085.1_ASM1851708v1_genomic.fna_00112","GCF_018517105.1_ASM1851710v1_genomic.fna_00174","GCF_018517185.1_ASM1851718v1_genomic.fna_00143"
"rsuA","","Ribosomal small subunit pseudouridine synthase A","20","20","1","1","539","","","","398","716","700","GCF_016743855.1_ASM1674385v1_genomic.fna_00162","GCF_016864255.1_ASM1686425v1_genomic.fna_00176","GCF_017584065.1_ASM1758406v1_genomic.fna_00181","GCF_017603725.1_ASM1760372v1_genomic.fna_00168","GCF_017815655.1_ASM1781565v1_genomic.fna_00163","GCF_017815675.1_ASM1781567v1_genomic.fna_00166","GCF_017815695.1_ASM1781569v1_genomic.fna_00167","GCF_017897965.1_ASM1789796v1_genomic.fna_00171","GCF_017898005.1_ASM1789800v1_genomic.fna_00171","GCF_017898025.1_ASM1789802v1_genomic.fna_01399","GCF_018219285.1_ASM1821928v1_genomic.fna_00163","GCF_018219325.1_ASM1821932v1_genomic.fna_00193","GCF_018279145.1_ASM1827914v1_genomic.fna_00709","GCF_018516845.1_ASM1851684v1_genomic.fna_00164","GCF_018516925.1_ASM1851692v1_genomic.fna_00167","GCF_018517045.1_ASM1851704v1_genomic.fna_00160","GCF_018517065.1_ASM1851706v1_genomic.fna_00167","GCF_018517085.1_ASM1851708v1_genomic.fna_00162","GCF_018517105.1_ASM1851710v1_genomic.fna_00227","GCF_018517185.1_ASM1851718v1_genomic.fna_00195"
"apc1","","Acetophenone carboxylase alpha subunit","20","20","1","1","2666","","","","1502","2129","2066","GCF_016743855.1_ASM1674385v1_genomic.fna_00212","GCF_016864255.1_ASM1686425v1_genomic.fna_00239","GCF_017584065.1_ASM1758406v1_genomic.fna_00243","GCF_017603725.1_ASM1760372v1_genomic.fna_00227","GCF_017815655.1_ASM1781565v1_genomic.fna_00226","GCF_017815675.1_ASM1781567v1_genomic.fna_00229","GCF_017815695.1_ASM1781569v1_genomic.fna_00232","GCF_017897965.1_ASM1789796v1_genomic.fna_00234","GCF_017898005.1_ASM1789800v1_genomic.fna_00234","GCF_017898025.1_ASM1789802v1_genomic.fna_01461","GCF_018219285.1_ASM1821928v1_genomic.fna_00215","GCF_018219325.1_ASM1821932v1_genomic.fna_00257","GCF_018279145.1_ASM1827914v1_genomic.fna_00649","GCF_018516845.1_ASM1851684v1_genomic.fna_00215","GCF_018516925.1_ASM1851692v1_genomic.fna_00229","GCF_018517045.1_ASM1851704v1_genomic.fna_00224","GCF_018517065.1_ASM1851706v1_genomic.fna_00227","GCF_018517085.1_ASM1851708v1_genomic.fna_00224","GCF_018517105.1_ASM1851710v1_genomic.fna_00283","GCF_018517185.1_ASM1851718v1_genomic.fna_00255"
"cycA_2","","D-serine/D-alanine/glycine transporter","20","20","1","1","6026","","","","1055","1331","1303","GCF_016743855.1_ASM1674385v1_genomic.fna_00264","GCF_016864255.1_ASM1686425v1_genomic.fna_00306","GCF_017584065.1_ASM1758406v1_genomic.fna_00355","GCF_017603725.1_ASM1760372v1_genomic.fna_00289","GCF_017815655.1_ASM1781565v1_genomic.fna_00288","GCF_017815675.1_ASM1781567v1_genomic.fna_00292","GCF_017815695.1_ASM1781569v1_genomic.fna_00283","GCF_017897965.1_ASM1789796v1_genomic.fna_00298","GCF_017898005.1_ASM1789800v1_genomic.fna_00298","GCF_017898025.1_ASM1789802v1_genomic.fna_01562","GCF_018219285.1_ASM1821928v1_genomic.fna_00270","GCF_018219325.1_ASM1821932v1_genomic.fna_00321","GCF_018279145.1_ASM1827914v1_genomic.fna_00593","GCF_018516845.1_ASM1851684v1_genomic.fna_00344","GCF_018516925.1_ASM1851692v1_genomic.fna_00287","GCF_018517045.1_ASM1851704v1_genomic.fna_00275","GCF_018517065.1_ASM1851706v1_genomic.fna_00284","GCF_018517085.1_ASM1851708v1_genomic.fna_00267","GCF_018517105.1_ASM1851710v1_genomic.fna_00394","GCF_018517185.1_ASM1851718v1_genomic.fna_00316"
"ulaC_1","","Ascorbate-specific PTS system EIIA component","20","20","1","1","6029","","","","1058","2093","2040","GCF_016743855.1_ASM1674385v1_genomic.fna_00278","GCF_016864255.1_ASM1686425v1_genomic.fna_00320","GCF_017584065.1_ASM1758406v1_genomic.fna_00369","GCF_017603725.1_ASM1760372v1_genomic.fna_00294","GCF_017815655.1_ASM1781565v1_genomic.fna_00293","GCF_017815675.1_ASM1781567v1_genomic.fna_00306","GCF_017815695.1_ASM1781569v1_genomic.fna_00297","GCF_017897965.1_ASM1789796v1_genomic.fna_00312","GCF_017898005.1_ASM1789800v1_genomic.fna_00312","GCF_017898025.1_ASM1789802v1_genomic.fna_01576","GCF_018219285.1_ASM1821928v1_genomic.fna_00289","GCF_018219325.1_ASM1821932v1_genomic.fna_00335","GCF_018279145.1_ASM1827914v1_genomic.fna_00579","GCF_018516845.1_ASM1851684v1_genomic.fna_00362","GCF_018516925.1_ASM1851692v1_genomic.fna_00301","GCF_018517045.1_ASM1851704v1_genomic.fna_00289","GCF_018517065.1_ASM1851706v1_genomic.fna_00298","GCF_018517085.1_ASM1851708v1_genomic.fna_00281","GCF_018517105.1_ASM1851710v1_genomic.fna_00414","GCF_018517185.1_ASM1851718v1_genomic.fna_00321"
"group_1092","","hypothetical protein","20","20","1","1","6041","","","","407","416","408","GCF_016743855.1_ASM1674385v1_genomic.fna_00281","GCF_016864255.1_ASM1686425v1_genomic.fna_00323","GCF_017584065.1_ASM1758406v1_genomic.fna_00372","GCF_017603725.1_ASM1760372v1_genomic.fna_00297","GCF_017815655.1_ASM1781565v1_genomic.fna_00296","GCF_017815675.1_ASM1781567v1_genomic.fna_00310","GCF_017815695.1_ASM1781569v1_genomic.fna_00302","GCF_017897965.1_ASM1789796v1_genomic.fna_00316","GCF_017898005.1_ASM1789800v1_genomic.fna_00316","GCF_017898025.1_ASM1789802v1_genomic.fna_01579","GCF_018219285.1_ASM1821928v1_genomic.fna_00292","GCF_018219325.1_ASM1821932v1_genomic.fna_00338","GCF_018279145.1_ASM1827914v1_genomic.fna_00576","GCF_018516845.1_ASM1851684v1_genomic.fna_00365","GCF_018516925.1_ASM1851692v1_genomic.fna_00304","GCF_018517045.1_ASM1851704v1_genomic.fna_00292","GCF_018517065.1_ASM1851706v1_genomic.fna_00301","GCF_018517085.1_ASM1851708v1_genomic.fna_00284","GCF_018517105.1_ASM1851710v1_genomic.fna_00417","GCF_018517185.1_ASM1851718v1_genomic.fna_00324"
"mutS2_1","","Endonuclease MutS2","20","20","1","1","2469","","","","1475","1928","1769","GCF_016743855.1_ASM1674385v1_genomic.fna_00304","GCF_016864255.1_ASM1686425v1_genomic.fna_00346","GCF_017584065.1_ASM1758406v1_genomic.fna_00395","GCF_017603725.1_ASM1760372v1_genomic.fna_00321","GCF_017815655.1_ASM1781565v1_genomic.fna_00320","GCF_017815675.1_ASM1781567v1_genomic.fna_00333","GCF_017815695.1_ASM1781569v1_genomic.fna_00325","GCF_017897965.1_ASM1789796v1_genomic.fna_00339","GCF_017898005.1_ASM1789800v1_genomic.fna_00339","GCF_017898025.1_ASM1789802v1_genomic.fna_01602","GCF_018219285.1_ASM1821928v1_genomic.fna_00311","GCF_018219325.1_ASM1821932v1_genomic.fna_00361","GCF_018279145.1_ASM1827914v1_genomic.fna_00551","GCF_018516845.1_ASM1851684v1_genomic.fna_00384","GCF_018516925.1_ASM1851692v1_genomic.fna_00327","GCF_018517045.1_ASM1851704v1_genomic.fna_00315","GCF_018517065.1_ASM1851706v1_genomic.fna_00324","GCF_018517085.1_ASM1851708v1_genomic.fna_00307","GCF_018517105.1_ASM1851710v1_genomic.fna_00440","GCF_018517185.1_ASM1851718v1_genomic.fna_00347"
"mapP","","Maltose 6'-phosphate phosphatase","20","20","1","1","2502","","","","548","833","818","GCF_016743855.1_ASM1674385v1_genomic.fna_00334","GCF_016864255.1_ASM1686425v1_genomic.fna_00377","GCF_017584065.1_ASM1758406v1_genomic.fna_00424","GCF_017603725.1_ASM1760372v1_genomic.fna_00352","GCF_017815655.1_ASM1781565v1_genomic.fna_00351","GCF_017815675.1_ASM1781567v1_genomic.fna_00363","GCF_017815695.1_ASM1781569v1_genomic.fna_00356","GCF_017897965.1_ASM1789796v1_genomic.fna_00369","GCF_017898005.1_ASM1789800v1_genomic.fna_00369","GCF_017898025.1_ASM1789802v1_genomic.fna_01631","GCF_018219285.1_ASM1821928v1_genomic.fna_00342","GCF_018219325.1_ASM1821932v1_genomic.fna_00392","GCF_018279145.1_ASM1827914v1_genomic.fna_00522","GCF_018516845.1_ASM1851684v1_genomic.fna_00415","GCF_018516925.1_ASM1851692v1_genomic.fna_00356","GCF_018517045.1_ASM1851704v1_genomic.fna_00346","GCF_018517065.1_ASM1851706v1_genomic.fna_00353","GCF_018517085.1_ASM1851708v1_genomic.fna_00337","GCF_018517105.1_ASM1851710v1_genomic.fna_00471","GCF_018517185.1_ASM1851718v1_genomic.fna_00375"
