GeneSymbol	V0	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101	V102	V103	V104	V105	V106	V107	V108	V109	V110	V111	V112	V113	V114	V115	V116	V117	V118	V119	V120	V121	V122	V123	V124	V125	V126	V127	Lgroup	GeneLabel
Int-Tn_3	0.011726	0.003397	-0.072967	0.174731	0.121646	-0.083008	-0.097782	0.086702	0.098737	-0.167797	0.167218	-0.101187	-0.145914	0.078916	0.169082	-0.135083	0.028039	-0.066914	-0.04599	0.063344	-0.080963	0.135003	-0.012821	-0.017563	-0.107945	-0.069125	-0.060459	-0.102647	0.221889	0.0277	0.019349	-0.187932	0.063456	-0.108617	0.076103	0.040483	-0.106171	-0.153174	0.201073	0.099021	-0.029396	-0.031087	-0.094076	0.031202	0.053836	-0.067814	-0.115035	-0.181218	0.233595	-0.063388	0.104405	0.063157	-0.02158	0.011792	-0.027941	-0.006344	0.143046	0.036208	-0.050414	0.063144	-0.077389	-0.068225	0.156828	0.228085	0.219132	0.048609	-0.094322	0.15504	-0.032977	-0.064622	-0.009425	-0.121344	0.124778	0.201227	-0.03815	-0.041837	-0.097667	0.017929	0.167433	0.051362	-0.020053	-0.159711	-0.232106	0.003194	-0.161334	-0.062274	-0.154712	-0.040309	-0.005998	-0.09803	0.100756	-0.062202	-0.02881	-0.05749	0.141862	-0.153874	-0.075096	0.05948	0.066286	-0.108322	-0.050186	0.065977	-0.009467	-0.070319	0.052319	-0.169833	-0.077845	0.102203	0.02571	0.026887	-0.06482	-0.044354	-0.017992	-0.075353	0.054556	-0.12474	0.044125	0.157359	0.000179	0.03289	-0.051771	0.073643	-0.239155	0.202905	0.022977	-0.173494	-0.160271	-0.054101	0	0
dgoA	-0.090756	0.06354	0.139545	-0.15547	0.089541	-0.159832	0.043492	0.04988	0.120196	0.20347	-0.172966	-0.122594	-0.053442	-0.012547	0.040072	-0.010731	0.101508	-0.001184	0.01902	0.06257	-0.047379	-0.004577	0.08147	-0.098948	0.043313	0.176485	0.009736	0.020933	-0.073807	0.001081	-0.009642	0.096358	-0.078638	-0.049265	-0.083164	-0.075466	-0.184365	-0.065266	-0.005298	-0.021923	-0.113701	0.051924	-0.054636	0.137144	0.019016	0.138428	0.177814	0.008157	-0.070017	-0.041273	0.014874	0.030723	-0.057125	-0.022865	0.046998	-0.075417	0.030651	0.0143	-0.195835	0.048805	-0.167571	-0.123039	0.00042	0.023064	-0.062697	-0.096753	0.018503	-0.034057	0.137274	0.117162	0.084283	0.062991	-0.061231	0.039594	-0.057026	0.098582	0.154654	0.175049	-0.120814	0.073677	0.093268	-0.010961	-0.013962	-0.088998	-0.099777	-0.211487	-0.041665	-0.058383	0.124819	0.05986	0.024986	0.169212	0.141947	0.012057	0.109686	0.194408	0.119612	0.02347	0.006702	0.003527	-0.058453	-0.018514	0.124219	0.07831	0.044744	0.183105	-0.040424	0.075096	0.014605	-0.02693	0.008698	0.027564	0.127831	0.037985	-0.02615	-0.010625	-0.14252	-0.086597	0.048059	0.186022	0.025989	-0.116766	0.006414	-0.095928	-0.0311	-0.00081	0.045938	-0.064669	0	0
group_1300	-0.090612	0.086837	0.022433	-0.020549	0.124156	0.086959	-0.04003	0.013634	0.145435	0.168503	-0.131564	0.051354	0.017542	-0.002034	0.117809	0.012334	-0.031017	0.114905	-0.094338	0.028131	-0.078061	-0.083268	0.121369	0.034829	0.124134	-0.0053	0.023836	-0.149746	0.092047	0.015339	-0.113715	-0.080432	0.099497	-0.109122	0.022723	0.097435	0.006202	0.132357	-0.00391	-0.082081	0.160843	0.092935	0.146892	0.058755	0.011032	0.103266	-0.008595	-0.127907	0.173834	0.130091	0.038998	-0.06081	-0.029364	-0.029681	0.031638	-0.047612	-0.035761	0.003799	0.045308	0.066129	-0.079364	0.04554	0.140727	0.10998	0.019263	-0.034258	0.125762	-0.003357	-0.067624	0.014021	-0.044147	0.06869	0.12121	-0.042079	-0.12825	0.048894	0.131085	0.152866	0.10886	-0.006968	0.004502	0.131012	0.059346	-0.00753	-0.073052	0.05334	-0.150734	-0.148828	-0.026619	0.046175	0.05529	-0.143277	-0.060555	-0.030603	-0.137815	0.046219	0.021759	-0.02985	0.064384	0.051056	-0.159576	-0.064036	0.064961	0.084262	-0.159555	0.120557	0.005943	-0.049415	0.152154	0.161934	-0.049025	-0.097866	-0.174685	0.087845	-0.048867	-0.02662	-0.116238	0.146961	0.168652	0.068036	-0.025561	-0.147074	-0.001918	-0.016541	0.006626	-0.001476	-0.007282	-0.111344	0	0
group_1477	0.05307	-0.153553	-0.052277	0.033331	0.081306	-0.082696	-0.096101	0.07013	0.029675	0.037236	0.096444	-0.02571	0.086781	-0.02553	-0.047674	-0.01155	-0.032263	-0.02666	0.137228	-0.036738	-0.070861	0.014515	0.113029	0.004435	0.068246	-0.108905	0.055738	-0.073526	0.031124	-0.058236	-0.093462	-0.033521	0.038151	-0.013535	-0.148302	0.039803	-0.042376	0.024417	0.067422	0.044339	0.013006	0.056696	-0.157729	-0.056725	-0.034248	0.06507	0.11033	0.026918	-0.086037	0.104269	-0.165172	0.095327	-0.012359	0.099152	0.012523	0.072439	-0.131885	0.138143	-0.153924	-0.036307	-0.12129	-0.152631	0.005942	0.098447	0.114853	0.009472	0.083412	0.079841	-0.071461	0.03523	0.033686	0.004014	0.115124	-0.055663	0.167444	0.003683	0.034412	0.065405	0.097493	-0.022171	0.055506	-0.086024	0.030107	-0.103386	0.011399	0.074868	-0.007702	0.013184	0.123867	0.086826	-0.160881	-0.015653	0.053876	-0.131451	0.02664	-0.062879	0.105748	0.091613	-0.007639	0.113655	-0.157569	0.021678	-0.029447	0.123791	0.073083	-0.00699	-0.07198	0.021349	0.044413	-0.000407	0.021895	-0.048396	-0.088557	-0.043019	-0.071091	0.001621	0.083252	-0.09604	0.050694	0.019768	-0.060077	-0.127635	-0.087879	0.004791	-0.105891	0.019665	-0.154846	-0.031134	0	0
group_1865	0.004443	-0.07263	0.072686	-0.112043	-0.009217	0.080194	0.076975	0.011309	-0.014275	0.152632	-0.058024	-0.084839	-0.041692	-0.055345	0.035705	0.074761	0.01234	-0.114189	-0.07029	-0.082874	0.038461	-0.044286	-0.129793	0.135223	0.03796	0.050194	-0.100534	0.094568	-0.024796	0.075148	-0.069041	0.117517	-0.099446	-0.027898	-0.048875	-0.034681	-0.131186	0.060298	-0.105802	0.047542	0.003237	-0.0479	-0.080909	-0.023223	0.102701	-0.122015	-0.012024	0.075584	-0.006716	0.010358	-0.017033	0.058876	0.103554	0.014344	-0.065554	0.083435	-0.010677	0.152926	-0.07883	0.156192	-0.02579	0.110569	0.026474	-0.053592	0.014339	-0.023302	-0.058484	0.116384	0.003641	0.12712	-0.066226	-0.02136	0.050834	-0.086105	0.057842	0.013997	0.088392	-0.164311	0.16192	0.035548	0.10899	-0.128843	0.031348	-0.122089	-0.157823	-0.030505	0.016196	0.106096	-0.090254	-0.032141	0.089767	0.126053	0.010295	-0.114606	0.03893	-0.034856	0.034708	0.052937	0.120997	0.006164	-0.08395	0.01327	-0.091109	0.082367	-0.025799	-0.056203	-0.02023	0.008123	0.136531	-0.091691	-0.028874	-0.084406	-0.021224	0.016968	-0.034922	0.052916	0.094811	0.030468	0.021118	0.036945	-0.022247	-0.03203	-0.02207	-0.114527	0.079626	-0.025231	0.064124	0.041712	0	0
group_2085	-0.078905	0.002694	0.041701	0.076169	-0.088191	-0.005282	-0.058648	0.077498	0.139049	0.008629	0.153383	-0.090857	-0.063183	-0.127138	-0.047997	-0.135061	-0.048904	0.093224	0.015253	0.026656	-0.084626	0.003262	-0.090853	-0.100079	-0.16019	-0.015371	0.125866	0.003129	0.014174	0.131037	0.085256	-0.049103	-0.019559	-0.094389	-0.147814	-0.018762	0.097235	0.139555	-0.149461	0.084413	0.028922	0.159115	0.107899	0.098063	0.062053	-0.091209	-0.056204	-0.103863	0.121702	0.070004	0.067419	0.074175	0.028547	0.038477	0.0393	-0.097136	0.089217	-0.083248	0.011738	0.101995	-0.128218	0.017865	0.003607	0.078429	-0.124822	0.042923	-0.052726	-0.0057	0.084675	0.028071	0.081716	0.013361	0.039296	-0.063424	0.034735	0.078027	-0.016759	-0.028716	0.094	0.085271	-0.050456	0.155925	-0.034058	-0.165464	0.067439	-0.054425	-0.088274	-0.100355	-0.106939	-0.019182	-0.023571	-0.07036	0.025541	-0.125395	-0.08891	0.083345	0.088388	-0.025109	-0.020253	0.088595	-0.011794	-0.074701	-0.044246	-0.068573	-0.000958	-0.116691	-0.061332	0.013549	-0.057634	-0.057224	-0.061692	-0.157084	0.12136	-0.039629	-0.127955	-0.072585	0.068289	0.001262	0.068665	-0.012183	0.052346	-0.070914	0.130669	-0.081084	-0.012659	-0.02419	-0.017102	0.10581	0	0
group_2562	-0.039488	-0.163607	-0.005084	-0.137469	-0.008672	-0.08207	-0.039786	-0.024634	0.091248	-0.08044	-0.023471	-0.082432	-0.173622	0.154985	-0.010348	0.096114	0.075199	0.119673	-0.000556	0.112803	-0.064696	0.134272	-0.015841	-0.051055	-0.005915	-0.141418	0.169314	0.033943	-0.007532	0.103179	-0.154122	-0.055962	-0.041159	-0.105871	0.027805	0.033892	-0.050127	-0.049254	-0.004679	0.021497	0.032764	-0.042075	0.007562	0.003111	-0.008863	-0.082202	-0.012178	0.068402	0.055888	-0.08605	0.035866	-0.092496	0.050243	-0.005624	0.061828	0.020683	-0.042004	0.170583	0.060953	-0.075481	-0.023306	0.044372	0.142495	-0.026987	-0.029392	-0.133678	0.012391	0.094204	0.007575	0.017461	-0.062017	0.063849	-0.029818	-0.013418	-0.175249	0.169797	0.018137	0.010915	0.016213	-0.079395	0.019666	0.045332	0.046185	-0.009678	0.02609	0.041052	-0.076824	-0.030904	-0.028546	-0.031074	-0.003099	-0.141609	-0.145256	0.033696	0.017091	0.071322	0.022934	0.078733	0.126069	0.008445	-0.128673	0.153865	0.135945	-0.024454	0.063098	0.03866	0.064322	-0.063888	-0.165301	0.103139	-0.081309	-0.023541	-0.053297	0.021475	-0.032409	-0.078515	0.112696	0.130593	0.009826	0.075813	0.076023	0.097493	-0.065177	-0.005674	-0.035767	-0.12886	0.059038	0.149964	0	0
group_2566	0.014845	0.05796	0.15566	0.03102	0.02896	0.141017	-0.035337	0.088335	-0.037317	-0.015546	-0.024747	-0.071382	0.080696	0.020197	-0.073009	-0.102051	-0.116654	0.022224	-0.019748	0.059331	-0.028422	0.063181	-0.104675	0.001249	0.167104	-0.000153	0.172136	0.121753	-0.012679	0.001143	0.077726	-0.020239	-0.044103	0.044176	0.005571	-0.124378	0.018796	0.043741	-0.020442	-0.020346	-0.020875	-0.070589	0.01023	-0.082	0.03024	0.09587	0.033238	-0.017546	-0.01465	0.012363	-0.003501	-0.051668	0.068463	-0.046608	0.132737	-0.125814	0.078213	0.116233	-0.05478	0.086855	0.110402	0.048001	0.17256	-0.054303	0.003856	-0.041085	0.092358	-0.051094	0.024276	0.066862	0.006737	0.074472	0.043838	-0.036627	-0.065307	0.073026	-0.069321	-0.005529	0.119204	-0.042716	-0.00664	-0.070168	0.012707	-0.089542	-0.107792	-0.061326	-0.014958	0.009227	-0.056579	0.039064	0.044347	0.129284	-0.02207	0.058403	0.1481	-0.063565	-0.004644	0.026885	-0.025212	-0.071137	-0.021581	0.140689	-0.029365	0.000946	-0.046327	-0.170255	-0.000787	-0.06605	-0.109048	0.122197	0.112219	0.089148	-0.077714	0.139844	-0.121213	0.057581	-0.162373	-0.054178	-0.031445	-0.007691	-0.060356	-0.121725	0.080326	-0.026264	-0.050386	-0.018928	0.033683	-0.131107	0	0
group_2574	0.04087	-0.088813	-0.014706	0.063607	0.060661	-0.041942	0.110822	0.122299	-0.038809	0.017901	0.04176	0.077364	-0.099962	-0.086367	0.026664	-0.041866	0.147959	0.04985	-0.009718	0.162318	-0.00287	-0.022263	-0.00921	-0.165263	0.021489	-0.087731	-0.061204	-0.114572	-0.067778	0.033196	0.054487	-0.177409	-0.050715	-0.082575	0.082616	0.082441	0.089358	-0.123605	-0.115531	0.139115	0.17541	-0.097023	-0.046374	-0.052594	-0.032143	0.035911	0.016752	-0.088581	-0.034205	-0.100424	-0.054839	0.100772	0.111677	-0.086282	-0.035478	0.074935	-0.048453	0.024689	-0.129268	0.002516	0.011196	0.051047	0.050122	-0.103497	0.009279	-0.086315	0.032147	0.077279	0.137816	-0.142331	0.105996	-0.167891	0.001427	-0.034755	0.010872	0.101615	0.089037	0.039192	-0.005202	-0.025573	-0.015584	0.026135	0.087696	-0.131946	-0.058924	-0.070049	0.059255	-0.131183	-0.103927	0.161663	0.10726	0.008099	0.095898	-0.180302	-0.116138	-0.091514	-0.049436	0.14266	-0.159006	-0.017881	0.042631	0.143609	0.071588	0.077577	-0.033526	-0.026047	-0.023939	0.100167	-0.030371	0.013279	0.069114	-0.027644	0.050386	-0.117007	0.029498	0.13641	-0.022765	0.057028	-0.0894	-0.052938	0.105201	0.0395	-0.063469	0.05035	-0.047947	0.028129	0.105661	0.06873	0	0
group_3209	-0.09536	0.062156	-0.055146	0.094207	0.164298	0.047358	-0.026961	0.066975	0.019238	0.095591	0.026612	0.005629	0.001289	-0.091413	-0.074609	-0.018493	0.149173	0.020565	-0.089581	-0.163639	0.016933	0.113473	-0.120468	0.016486	0.141911	0.034994	0.11048	0.076248	0.111345	-0.083281	-0.100821	-0.059771	-0.011638	-0.035661	-0.098051	-0.026223	-0.137896	0.047082	0.040685	0.05569	-0.037338	0.023248	-0.053575	-0.091752	-0.142143	-0.041277	0.113471	-0.026878	0.070329	-0.020077	-0.044883	0.134301	-0.1083	-0.083841	0.111631	-0.048221	-0.067333	0.136536	0.101027	0.01688	-0.077111	-0.139631	0.065105	-0.051335	0.079814	0.115529	0.081695	-0.051931	-0.071557	0.084999	-0.115074	0.083851	0.060259	0.060613	0.158594	0.010245	0.073263	0.047714	0.142289	-0.015114	-0.079259	-0.153469	-0.025213	-0.022914	-0.022659	0.000815	0.050441	-0.096492	0.050594	-0.141727	0.017721	-0.02172	0.088169	-0.167413	0.150057	-0.008545	-0.085519	-0.00357	0.021286	0.064865	-0.064544	0.014328	0.02708	0.090916	0.027206	0.05245	-0.090578	0.139143	-0.085841	0.082304	0.035889	-0.07923	-0.063901	0.125247	-0.001325	-0.01922	-0.038383	0.081925	0.090527	0.045103	0.031049	0.008091	0.078662	-0.035795	-0.059803	-0.16126	0.009423	0.130776	0	0
