GeneSymbol,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,SpeciesPrefix,LGroup,GeneLabel
Int-Tn_3,0.011726,0.003397,-0.072967,0.174731,0.121646,-0.083008,-0.097782,0.086702,0.098737,-0.167797,0.167218,-0.101187,-0.145914,0.078916,0.169082,-0.135083,0.028039,-0.066914,-0.04599,0.063344,-0.080963,0.135003,-0.012821,-0.017563,-0.107945,-0.069125,-0.060459,-0.102647,0.221889,0.0277,0.019349,-0.187932,0.063456,-0.108617,0.076103,0.040483,-0.106171,-0.153174,0.201073,0.099021,-0.029396,-0.031087,-0.094076,0.031202,0.053836,-0.067814,-0.115035,-0.181218,0.233595,-0.063388,0.104405,0.063157,-0.02158,0.011792,-0.027941,-0.006344,0.143046,0.036208,-0.050414,0.063144,-0.077389,-0.068225,0.156828,0.228085,0.219132,0.048609,-0.094322,0.15504,-0.032977,-0.064622,-0.009425,-0.121344,0.124778,0.201227,-0.03815,-0.041837,-0.097667,0.017929,0.167433,0.051362,-0.020053,-0.159711,-0.232106,0.003194,-0.161334,-0.062274,-0.154712,-0.040309,-0.005998,-0.09803,0.100756,-0.062202,-0.02881,-0.05749,0.141862,-0.153874,-0.075096,0.05948,0.066286,-0.108322,-0.050186,0.065977,-0.009467,-0.070319,0.052319,-0.169833,-0.077845,0.102203,0.02571,0.026887,-0.06482,-0.044354,-0.017992,-0.075353,0.054556,-0.12474,0.044125,0.157359,0.000179,0.03289,-0.051771,0.073643,-0.239155,0.202905,0.022977,-0.173494,-0.160271,-0.054101,EN,0,0
fosB,-0.06154,-0.057468,-0.047509,0.018855,0.106462,0.020962,-0.058826,0.012321,-0.075206,-0.156768,0.086858,-0.072553,-0.084261,0.103471,0.038722,0.019047,-0.056178,-0.214313,0.032557,0.059542,-0.031314,0.115844,-0.142501,-0.236892,-0.135927,0.006245,-0.013685,-0.225565,0.065317,0.115279,0.085184,0.004981,0.16352,-0.034702,0.201054,-0.036982,0.041841,0.099498,0.093845,0.008719,-0.085074,-0.128091,-0.082378,-0.036644,0.049885,-0.145764,-0.123777,-0.081245,0.080478,-0.07125,0.043502,-0.006703,0.064717,0.046837,-0.030467,-0.000209,0.223314,0.173142,0.19169,0.169766,0.119278,-0.104673,-0.005236,0.115341,-0.092356,0.036368,-0.012114,0.083386,-0.142948,-0.039096,0.07158,-0.222851,0.055013,0.174869,0.076621,0.01083,-0.181168,-0.114028,0.046124,-0.077492,-0.067168,-0.134445,-0.048753,0.022351,-0.081359,0.045947,-0.074844,0.058015,0.041591,-0.139645,0.021422,-0.090604,-0.031463,0.014808,0.199886,-0.074689,0.039388,0.015416,-0.037383,0.053547,-0.057571,-0.074899,-0.173801,-0.052447,0.146917,-0.152192,-0.117036,0.147574,0.201261,-0.233049,0.126681,-0.115252,0.048815,-0.116603,0.13899,-0.150347,0.143144,0.091656,-0.048571,-0.225659,0.15591,0.158529,-0.111016,-0.047265,0.19887,-0.063211,-0.174481,0.068341,EN,1,1
dgoA,-0.090756,0.06354,0.139545,-0.15547,0.089541,-0.159832,0.043492,0.04988,0.120196,0.20347,-0.172966,-0.122594,-0.053442,-0.012547,0.040072,-0.010731,0.101508,-0.001184,0.01902,0.06257,-0.047379,-0.004577,0.08147,-0.098948,0.043313,0.176485,0.009736,0.020933,-0.073807,0.001081,-0.009642,0.096358,-0.078638,-0.049265,-0.083164,-0.075466,-0.184365,-0.065266,-0.005298,-0.021923,-0.113701,0.051924,-0.054636,0.137144,0.019016,0.138428,0.177814,0.008157,-0.070017,-0.041273,0.014874,0.030723,-0.057125,-0.022865,0.046998,-0.075417,0.030651,0.0143,-0.195835,0.048805,-0.167571,-0.123039,0.00042,0.023064,-0.062697,-0.096753,0.018503,-0.034057,0.137274,0.117162,0.084283,0.062991,-0.061231,0.039594,-0.057026,0.098582,0.154654,0.175049,-0.120814,0.073677,0.093268,-0.010961,-0.013962,-0.088998,-0.099777,-0.211487,-0.041665,-0.058383,0.124819,0.05986,0.024986,0.169212,0.141947,0.012057,0.109686,0.194408,0.119612,0.02347,0.006702,0.003527,-0.058453,-0.018514,0.124219,0.07831,0.044744,0.183105,-0.040424,0.075096,0.014605,-0.02693,0.008698,0.027564,0.127831,0.037985,-0.02615,-0.010625,-0.14252,-0.086597,0.048059,0.186022,0.025989,-0.116766,0.006414,-0.095928,-0.0311,-0.00081,0.045938,-0.064669,EN,0,0
group_2184,-0.172262,-0.110618,-0.028966,-0.065027,0.178621,0.131529,-0.194988,-0.018339,0.05516,-0.141694,0.041017,-0.084121,0.054583,0.162828,0.099144,-0.204656,-0.090881,-0.093439,-0.172561,-0.082553,0.193147,-0.074394,0.067103,0.043248,0.099256,-0.083897,0.051929,-0.122567,0.190714,-0.022856,0.026587,0.046546,0.176352,-0.083058,0.204298,0.071947,-0.007289,-0.11855,0.149372,0.124205,-0.10431,-0.202128,-0.09136,-0.059667,0.014777,-0.008761,-0.098229,0.04531,0.190454,-0.041067,0.080413,0.019665,0.072175,0.154419,-0.044082,-0.029492,0.033857,0.083939,0.086309,0.047601,0.17348,-0.171631,0.061642,0.05646,0.133663,0.201433,-0.102104,0.082551,0.014819,0.116969,0.019528,-0.005011,0.015127,0.105616,0.004636,-0.086478,-0.10618,-0.017802,0.028901,0.122247,-0.03661,-0.19924,0.093233,-0.000426,-0.10309,0.008889,-0.078735,-0.031033,0.083293,-0.099731,-0.029955,-0.091015,-0.171883,0.002687,0.055114,-0.151944,0.070345,0.183077,-0.081018,-0.069011,-0.089062,-0.077735,0.02652,-0.179613,0.080704,-0.13647,-0.084222,0.103505,-0.023805,-0.176508,-0.007182,0.00825,0.11775,0.017009,-0.007113,0.017528,0.094889,0.079476,0.002264,-0.181418,0.109028,0.033678,-0.118192,0.000187,0.069499,-0.115874,-0.158081,0.088397,EN,1,0
group_1300,-0.090612,0.086837,0.022433,-0.020549,0.124156,0.086959,-0.04003,0.013634,0.145435,0.168503,-0.131564,0.051354,0.017542,-0.002034,0.117809,0.012334,-0.031017,0.114905,-0.094338,0.028131,-0.078061,-0.083268,0.121369,0.034829,0.124134,-0.0053,0.023836,-0.149746,0.092047,0.015339,-0.113715,-0.080432,0.099497,-0.109122,0.022723,0.097435,0.006202,0.132357,-0.00391,-0.082081,0.160843,0.092935,0.146892,0.058755,0.011032,0.103266,-0.008595,-0.127907,0.173834,0.130091,0.038998,-0.06081,-0.029364,-0.029681,0.031638,-0.047612,-0.035761,0.003799,0.045308,0.066129,-0.079364,0.04554,0.140727,0.10998,0.019263,-0.034258,0.125762,-0.003357,-0.067624,0.014021,-0.044147,0.06869,0.12121,-0.042079,-0.12825,0.048894,0.131085,0.152866,0.10886,-0.006968,0.004502,0.131012,0.059346,-0.00753,-0.073052,0.05334,-0.150734,-0.148828,-0.026619,0.046175,0.05529,-0.143277,-0.060555,-0.030603,-0.137815,0.046219,0.021759,-0.02985,0.064384,0.051056,-0.159576,-0.064036,0.064961,0.084262,-0.159555,0.120557,0.005943,-0.049415,0.152154,0.161934,-0.049025,-0.097866,-0.174685,0.087845,-0.048867,-0.02662,-0.116238,0.146961,0.168652,0.068036,-0.025561,-0.147074,-0.001918,-0.016541,0.006626,-0.001476,-0.007282,-0.111344,EN,0,0
group_2185,-0.041008,-0.117366,0.045197,0.148636,0.089448,0.157551,0.024331,-0.038639,0.007228,-0.121899,0.031511,-0.076369,0.093641,0.137707,0.114986,-0.233679,-0.109936,-0.191028,-0.06649,-0.148822,-0.047335,0.010443,0.071675,-0.162538,0.065977,-0.123677,-0.096295,-0.032791,0.111735,0.015036,0.091225,-0.203068,0.048398,0.013789,0.093626,0.108483,0.125824,-0.066415,0.134909,0.186029,-0.076209,-0.029267,-0.064553,-0.09081,-0.091107,0.10348,0.065373,-0.098813,0.15078,-0.132977,0.036583,-0.069886,0.063236,-0.058953,-0.164415,-0.075723,-0.021963,0.014644,0.240073,-0.004764,0.051016,-0.139339,0.071877,0.040381,0.023705,0.091035,-0.096057,0.027633,-0.088731,0.063163,0.049309,0.070399,-0.07803,-0.011481,-0.058306,-0.149957,-0.186431,-0.019041,0.06789,0.020919,-0.086408,-0.072613,-0.080401,-0.19201,-0.023862,0.052833,-0.073087,-0.021509,0.081002,-0.122313,0.054045,-0.022094,-0.070647,-0.02646,0.154572,0.007726,0.150028,0.15,0.056886,-0.098078,-0.160342,-0.180229,-0.192306,-0.136647,0.193546,0.076121,-0.128241,0.070532,-0.093255,-0.043019,0.113758,-0.123633,-0.023872,-0.074547,-0.037918,-0.010391,0.069078,0.021653,0.17035,-0.106659,0.128921,0.043472,-0.077471,0.106198,0.067104,-0.103939,0.067654,0.064883,EN,1,0
group_1477,0.05307,-0.153553,-0.052277,0.033331,0.081306,-0.082696,-0.096101,0.07013,0.029675,0.037236,0.096444,-0.02571,0.086781,-0.02553,-0.047674,-0.01155,-0.032263,-0.02666,0.137228,-0.036738,-0.070861,0.014515,0.113029,0.004435,0.068246,-0.108905,0.055738,-0.073526,0.031124,-0.058236,-0.093462,-0.033521,0.038151,-0.013535,-0.148302,0.039803,-0.042376,0.024417,0.067422,0.044339,0.013006,0.056696,-0.157729,-0.056725,-0.034248,0.06507,0.11033,0.026918,-0.086037,0.104269,-0.165172,0.095327,-0.012359,0.099152,0.012523,0.072439,-0.131885,0.138143,-0.153924,-0.036307,-0.12129,-0.152631,0.005942,0.098447,0.114853,0.009472,0.083412,0.079841,-0.071461,0.03523,0.033686,0.004014,0.115124,-0.055663,0.167444,0.003683,0.034412,0.065405,0.097493,-0.022171,0.055506,-0.086024,0.030107,-0.103386,0.011399,0.074868,-0.007702,0.013184,0.123867,0.086826,-0.160881,-0.015653,0.053876,-0.131451,0.02664,-0.062879,0.105748,0.091613,-0.007639,0.113655,-0.157569,0.021678,-0.029447,0.123791,0.073083,-0.00699,-0.07198,0.021349,0.044413,-0.000407,0.021895,-0.048396,-0.088557,-0.043019,-0.071091,0.001621,0.083252,-0.09604,0.050694,0.019768,-0.060077,-0.127635,-0.087879,0.004791,-0.105891,0.019665,-0.154846,-0.031134,EN,0,0
group_2186,-0.155286,-0.11258,-0.124002,-0.023246,0.04709,0.082148,-0.074355,0.085529,5.9E-05,-0.093478,0.049124,-0.125609,-0.018321,0.131545,0.093969,-0.054271,-0.012493,-0.202004,-0.139225,-0.102865,0.033624,0.077785,-0.031101,-0.231415,0.017164,0.107934,-0.092554,-0.173671,-0.010016,0.111755,0.179618,-0.221075,0.040427,-0.086707,0.145563,-0.008912,0.143806,-0.116903,0.175704,0.079581,0.041945,0.091329,-0.053523,0.07358,0.146246,-0.028559,0.000633,-0.1129,0.052635,0.108408,0.029047,0.053455,-0.01592,0.121048,-0.074276,0.099087,0.042886,0.110822,-0.062306,0.185175,0.128991,0.025963,0.124799,-0.021938,0.1773,-0.050048,-0.05463,0.046937,-0.023013,0.134758,0.162855,-0.068506,-0.008693,0.174514,0.021512,-0.076802,-0.073661,0.032522,0.032291,0.109724,-0.137611,0.105321,0.028537,0.069727,-0.093706,0.081499,0.012762,-0.061157,-0.088762,-0.015012,0.132322,-0.142109,-0.132215,-0.122404,0.007486,-0.081369,0.22333,0.157719,-0.112238,-0.168696,0.014071,-0.14269,0.011497,0.01213,0.167656,0.044359,0.023993,0.13131,-0.077541,-0.156039,0.038064,0.030922,0.050631,0.006368,0.066916,0.085418,0.192146,-0.027094,0.022458,-0.086671,0.074124,0.056911,0.090324,0.108041,0.022036,-0.174403,-0.132061,0.037571,EN,1,0
group_1865,0.004443,-0.07263,0.072686,-0.112043,-0.009217,0.080194,0.076975,0.011309,-0.014275,0.152632,-0.058024,-0.084839,-0.041692,-0.055345,0.035705,0.074761,0.01234,-0.114189,-0.07029,-0.082874,0.038461,-0.044286,-0.129793,0.135223,0.03796,0.050194,-0.100534,0.094568,-0.024796,0.075148,-0.069041,0.117517,-0.099446,-0.027898,-0.048875,-0.034681,-0.131186,0.060298,-0.105802,0.047542,0.003237,-0.0479,-0.080909,-0.023223,0.102701,-0.122015,-0.012024,0.075584,-0.006716,0.010358,-0.017033,0.058876,0.103554,0.014344,-0.065554,0.083435,-0.010677,0.152926,-0.07883,0.156192,-0.02579,0.110569,0.026474,-0.053592,0.014339,-0.023302,-0.058484,0.116384,0.003641,0.12712,-0.066226,-0.02136,0.050834,-0.086105,0.057842,0.013997,0.088392,-0.164311,0.16192,0.035548,0.10899,-0.128843,0.031348,-0.122089,-0.157823,-0.030505,0.016196,0.106096,-0.090254,-0.032141,0.089767,0.126053,0.010295,-0.114606,0.03893,-0.034856,0.034708,0.052937,0.120997,0.006164,-0.08395,0.01327,-0.091109,0.082367,-0.025799,-0.056203,-0.02023,0.008123,0.136531,-0.091691,-0.028874,-0.084406,-0.021224,0.016968,-0.034922,0.052916,0.094811,0.030468,0.021118,0.036945,-0.022247,-0.03203,-0.02207,-0.114527,0.079626,-0.025231,0.064124,0.041712,EN,0,0
group_2567,-0.057262,-0.226501,-0.195663,-0.03483,0.123537,-0.024937,-0.187085,0.028452,-0.004761,-0.003355,0.087829,-0.036602,-0.175232,0.147568,0.147127,0.007909,-0.156023,-0.020527,0.011109,-0.157973,-0.043774,-0.019475,-0.114154,0.087369,-0.125506,-0.102596,-0.158598,-0.053647,0.124942,0.17839,0.138519,-0.11207,0.214392,-0.065515,0.116566,0.023084,0.187194,-0.021868,0.128281,0.06903,-0.21473,-0.161046,-0.145133,0.042679,0.071385,-0.092637,-0.077584,-0.140862,0.068313,-0.044976,0.0391,0.149206,0.071613,0.082109,-0.039284,0.052241,0.044783,0.093284,0.157635,0.086077,0.113466,-0.058838,0.079273,-0.026897,-0.022099,0.188929,0.068121,0.061343,0.000887,0.035165,0.10899,-0.112113,0.056279,0.032808,0.048828,-0.134655,0.016398,-0.140719,0.131715,0.141445,-0.128805,0.058487,-0.231357,-0.134507,-0.104924,-0.008367,-0.008921,-0.140929,-0.036671,0.027762,-0.093927,-0.111952,-0.179676,0.046441,0.082023,-0.156016,0.13127,-0.031271,-0.006845,-0.006339,0.021473,-0.076731,-0.061024,-0.024648,0.11199,-0.14259,0.087647,0.108487,0.132125,-0.082146,0.072245,-0.107158,-0.129004,0.01809,0.063577,-0.134801,-0.001581,-0.10729,0.08099,-0.053182,0.065867,0.113735,-0.069974,0.044665,0.0595,0.013022,-0.160704,0.06845,EN,1,0
group_2085,-0.078905,0.002694,0.041701,0.076169,-0.088191,-0.005282,-0.058648,0.077498,0.139049,0.008629,0.153383,-0.090857,-0.063183,-0.127138,-0.047997,-0.135061,-0.048904,0.093224,0.015253,0.026656,-0.084626,0.003262,-0.090853,-0.100079,-0.16019,-0.015371,0.125866,0.003129,0.014174,0.131037,0.085256,-0.049103,-0.019559,-0.094389,-0.147814,-0.018762,0.097235,0.139555,-0.149461,0.084413,0.028922,0.159115,0.107899,0.098063,0.062053,-0.091209,-0.056204,-0.103863,0.121702,0.070004,0.067419,0.074175,0.028547,0.038477,0.0393,-0.097136,0.089217,-0.083248,0.011738,0.101995,-0.128218,0.017865,0.003607,0.078429,-0.124822,0.042923,-0.052726,-0.0057,0.084675,0.028071,0.081716,0.013361,0.039296,-0.063424,0.034735,0.078027,-0.016759,-0.028716,0.094,0.085271,-0.050456,0.155925,-0.034058,-0.165464,0.067439,-0.054425,-0.088274,-0.100355,-0.106939,-0.019182,-0.023571,-0.07036,0.025541,-0.125395,-0.08891,0.083345,0.088388,-0.025109,-0.020253,0.088595,-0.011794,-0.074701,-0.044246,-0.068573,-0.000958,-0.116691,-0.061332,0.013549,-0.057634,-0.057224,-0.061692,-0.157084,0.12136,-0.039629,-0.127955,-0.072585,0.068289,0.001262,0.068665,-0.012183,0.052346,-0.070914,0.130669,-0.081084,-0.012659,-0.02419,-0.017102,0.10581,EN,0,0
group_2627,-0.244809,-0.168648,-0.229309,0.057636,0.188355,0.052296,-0.061666,0.04618,0.140958,-0.060009,0.00093,0.072212,0.1024,0.185083,-0.05544,0.07438,-0.074676,-0.215844,-0.082944,-0.033014,0.063569,0.104526,-0.062553,-0.202047,-0.03814,-0.106941,-0.061349,-0.055654,0.067319,0.113396,0.095476,-0.13397,0.156722,-0.12093,0.059602,0.059319,0.110605,-0.123746,0.000421,0.118482,-0.105922,-0.029615,0.081228,-0.049778,-0.038498,-0.07334,-0.053017,-0.061424,0.004949,0.098539,0.046519,0.031408,-0.042279,0.15247,-0.057815,0.020605,-0.071595,0.237893,0.087245,0.196662,0.05609,-0.068184,0.157349,0.18688,0.055814,0.177775,-0.059928,0.081135,0.028074,0.082381,-0.005758,-0.166078,0.103859,0.046194,0.11381,-0.001802,-0.113592,-0.025962,-0.012978,0.096254,0.042853,-0.061406,0.08039,-0.039176,0.031266,-0.037184,0.076679,-0.125392,-0.091854,0.061073,0.006569,-0.184112,-0.103825,-0.124416,0.086176,-0.185694,0.157877,-0.01888,-0.025504,-0.134666,-0.050652,0.061658,-0.187489,0.064361,0.108736,-0.205695,-0.091326,0.23439,0.076386,-0.092625,0.070319,-0.038789,0.053325,0.013562,0.003456,-0.078959,-0.001243,-0.067713,0.187006,-0.187646,0.07447,0.044694,-0.124771,-0.010453,0.241499,0.069037,-0.013869,0.203791,EN,1,0
group_2562,-0.039488,-0.163607,-0.005084,-0.137469,-0.008672,-0.08207,-0.039786,-0.024634,0.091248,-0.08044,-0.023471,-0.082432,-0.173622,0.154985,-0.010348,0.096114,0.075199,0.119673,-0.000556,0.112803,-0.064696,0.134272,-0.015841,-0.051055,-0.005915,-0.141418,0.169314,0.033943,-0.007532,0.103179,-0.154122,-0.055962,-0.041159,-0.105871,0.027805,0.033892,-0.050127,-0.049254,-0.004679,0.021497,0.032764,-0.042075,0.007562,0.003111,-0.008863,-0.082202,-0.012178,0.068402,0.055888,-0.08605,0.035866,-0.092496,0.050243,-0.005624,0.061828,0.020683,-0.042004,0.170583,0.060953,-0.075481,-0.023306,0.044372,0.142495,-0.026987,-0.029392,-0.133678,0.012391,0.094204,0.007575,0.017461,-0.062017,0.063849,-0.029818,-0.013418,-0.175249,0.169797,0.018137,0.010915,0.016213,-0.079395,0.019666,0.045332,0.046185,-0.009678,0.02609,0.041052,-0.076824,-0.030904,-0.028546,-0.031074,-0.003099,-0.141609,-0.145256,0.033696,0.017091,0.071322,0.022934,0.078733,0.126069,0.008445,-0.128673,0.153865,0.135945,-0.024454,0.063098,0.03866,0.064322,-0.063888,-0.165301,0.103139,-0.081309,-0.023541,-0.053297,0.021475,-0.032409,-0.078515,0.112696,0.130593,0.009826,0.075813,0.076023,0.097493,-0.065177,-0.005674,-0.035767,-0.12886,0.059038,0.149964,EN,0,0
