GeneSymbol,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,SpeciesPrefix,LGroup,GeneLabel
aadK_2,-0.042429,0.015509,-0.111175,-0.128799,-0.040688,0.144153,-0.077486,0.061017,0.088609,-0.094589,0.028218,-0.024901,0.008773,-0.025869,0.153245,0.068541,-0.05904,-0.048856,0.012944,-0.043901,-0.021116,0.066457,-0.018796,-0.056661,0.082514,-0.114198,0.029607,0.035364,-0.167024,-0.042981,-0.075379,-0.013216,-0.043594,-0.07429,-0.128259,0.036204,-0.045981,-0.050954,-0.109864,0.073724,0.071345,-0.03439,-0.102907,-0.134642,0.049995,0.020831,0.095344,0.047646,0.059974,0.161616,-0.121245,0.106778,-0.054809,0.049644,0.12765,0.117441,0.006912,-0.006437,-0.050947,0.001138,-0.089217,0.034864,-0.012706,0.154457,0.021516,-0.001565,-0.05718,-0.066413,0.163638,-0.122328,-0.00971,0.082507,0.049259,-0.036112,-0.064083,0.100256,-0.071226,0.148586,0.054522,0.108543,-0.056244,-0.048794,0.082916,-0.058732,0.083257,-0.043492,0.069594,-0.078257,0.098284,0.009611,0.03497,0.021103,0.02551,0.006404,0.106561,-0.058026,0.023894,-0.101021,0.096508,0.034323,-0.061927,0.001291,-0.028927,0.083594,0.072318,-0.00072,-0.004401,0.002286,0.041642,0.08346,0.005797,-0.139438,-0.06428,0.072414,0.085032,-0.039735,-0.05977,0.015368,-0.098451,0.029959,-0.165991,-0.049638,-0.049718,0.125676,-0.022223,-0.095442,0.178989,0.180839,EN,0,1
aacA-aphD_2,0.001051,-0.045544,0.040491,-0.105416,0.064662,0.030903,0.135875,0.089221,0.135696,0.017932,-0.09182,-0.02923,-0.066784,0.056686,0.050183,-0.189236,0.194231,-0.108811,0.021444,-0.093458,0.093782,0.065761,0.020603,-0.007884,-0.020593,0.102487,0.060528,0.00551,0.063559,-0.038092,-0.062913,-0.047714,0.048164,-0.10394,-0.01878,0.04443,-0.084394,0.084731,-0.06925,-0.013041,-0.150118,-0.041882,0.006183,-0.040976,-0.122045,-0.05457,-0.009268,-0.006959,0.093709,0.001882,-0.063646,-0.017899,0.159625,-0.024716,0.124092,-0.066997,-0.106614,0.016198,0.026362,0.094365,-0.058457,-0.174345,-0.038541,0.119423,0.09197,0.049842,-0.125783,0.074968,0.16277,0.106792,0.128648,0.033312,-0.022231,0.181941,0.043578,0.038953,-0.024342,0.116541,-0.086808,-0.025501,0.106541,-0.052977,0.039891,0.101742,0.064648,-0.076557,-0.087317,-0.052682,0.052533,0.045603,0.038352,0.05088,-0.037785,-0.035392,-0.030834,0.104728,0.025956,-0.074449,0.152981,-0.018098,0.037174,0.099839,-0.006297,-0.042439,-0.149242,0.035886,0.077744,0.022532,-0.075128,0.08898,-0.105895,-0.053101,0.049466,-0.045811,-0.047873,-0.078367,0.119758,-0.100883,-0.087811,0.031229,0.103776,-0.029187,-0.109574,-0.074559,0.021857,-0.129813,-0.094935,-0.089508,EN,1,1
erm_3,-0.01225,0.050699,0.155399,-0.000346,0.043791,-0.008767,0.072638,-0.046125,0.073761,0.037531,0.046778,0.00664,0.084426,0.060689,-0.152559,0.035933,-0.052175,-0.025475,0.085134,-0.047655,0.062067,-0.053733,0.090758,-0.02132,0.125305,0.018628,0.092666,-0.070833,-0.059857,-0.024315,0.079439,-0.087407,0.121889,0.044865,0.054142,-0.064712,-0.113707,0.096508,0.112397,0.033452,-0.107268,0.065162,-0.067367,-0.10312,-0.056422,0.079368,-0.058168,0.010768,0.025634,-0.047909,-0.036872,0.033582,-0.013257,0.039202,-0.029938,-0.142347,-0.078412,-0.044429,0.039376,-0.040409,0.026249,-0.147967,-0.084752,0.068493,0.130164,0.086419,0.068983,0.074114,0.018939,0.013428,0.102296,0.118553,-0.037915,-0.010604,-0.019511,-0.170729,-0.064804,0.02339,0.027811,-0.080472,-0.021025,0.032483,-0.041399,-0.091844,0.108365,-0.050095,0.111418,0.077923,-0.033647,-0.137631,0.043846,-0.004736,0.046411,-0.05228,0.033834,-0.089321,-0.095062,-0.025282,0.039551,0.022809,-0.163823,0.027272,-0.088509,0.114733,0.01335,0.094955,-0.058845,0.020018,0.087602,-0.003065,-0.000627,0.080151,0.071626,0.101121,0.115504,0.124469,0.049353,-0.058798,0.091443,-0.176363,0.0774,-0.134428,0.063029,-0.023788,-0.046007,0.075148,0.03541,0.079514,EN,0,1
aphA,0.14999,-0.031861,-0.156299,-0.062987,-0.173272,0.067777,0.016201,0.006817,0.117203,-0.106803,-0.029894,0.05772,0.072795,-0.036211,0.004758,-0.041507,-0.01121,-0.043982,0.141197,0.084189,-0.005351,-0.014637,-0.103941,-0.010259,0.072276,0.079907,0.001737,0.021128,-0.162913,0.048672,-0.117715,0.048029,0.018929,0.01556,-0.046909,-0.096841,-0.163255,-0.136343,-0.044244,-0.078614,0.01552,0.13408,0.094489,0.087074,-0.100377,0.109703,0.011912,-0.15885,0.020539,-0.104507,-0.050942,0.089629,-0.055619,-0.015717,0.122269,-0.005461,-0.083224,0.053403,0.059486,-0.047245,0.004318,-0.039762,0.035997,0.109457,-0.055838,0.096971,-0.139418,-0.011473,-0.115096,-0.038389,-0.03025,0.048286,-0.078668,0.10184,0.166838,0.050634,0.060617,0.077876,0.061308,0.033808,0.05148,0.018686,0.003137,0.116551,0.003872,-0.063504,-0.027372,-0.060643,-0.125115,-0.062863,-0.027342,-0.045516,0.002584,-0.057577,0.085488,0.097529,0.051935,0.00897,-0.095961,-0.020985,0.014416,-0.088616,-0.160198,0.173491,0.112165,0.043122,-0.063561,0.111206,0.023748,-0.123392,0.065808,-0.029598,-0.095974,0.014974,-0.059264,-0.165667,-0.007643,-0.189196,0.04107,-0.059438,0.132604,-0.021609,0.062063,-0.015105,0.021933,-0.029075,-0.016337,0.044926,EN,1,1
group_1477,-0.010548,0.09594,0.018227,-0.020592,0.058564,0.023506,-0.027338,-0.01918,0.075391,0.042344,-0.028077,-0.056427,0.012244,-0.140941,0.049315,0.048654,0.07118,0.128533,-0.120053,0.066463,-0.010393,0.039115,0.021892,0.057368,0.032401,-0.140204,-0.106196,-0.030661,-0.066652,-0.144326,-0.090543,-0.15715,0.031152,-0.121997,-0.055096,0.01089,-0.06807,0.033002,-0.070597,0.029971,-0.148716,-0.077229,0.075403,0.052673,0.088011,-0.107977,-0.056612,0.041166,-0.074535,-0.123029,-0.062884,-0.125979,0.066301,-0.106565,-0.018561,0.036523,-0.06617,0.021442,0.04783,-0.113496,0.032158,-0.027325,-0.033604,-0.055828,-0.101635,0.105529,0.100778,0.150738,-0.097211,0.06164,-0.025864,-0.065366,0.030123,0.008431,-0.095425,-0.091199,-0.026437,-0.017416,0.036914,0.078602,-0.023931,-0.123045,0.044921,0.154637,0.076623,0.044917,0.002853,-0.012899,-0.034988,-0.056415,-0.024253,0.087263,-0.029056,0.135671,-0.096376,-0.004227,0.030291,0.014224,0.009515,-0.007759,-0.133474,-0.030021,-0.024753,0.045942,0.06394,0.101757,-0.107064,-0.069605,-0.101356,0.041976,0.024918,0.055776,0.041319,0.030496,0.117707,-0.032971,0.079537,-0.009695,0.019455,-0.038501,-0.043008,0.101639,0.157989,-0.105836,0.027924,-0.03436,-0.139463,-0.117784,EN,0,0
birA_3,-0.016794,-0.037827,0.015453,0.034146,0.091789,0.130166,0.08411,-0.002189,0.010645,-0.030809,-0.09822,0.120898,-0.081934,0.011078,-0.100029,-0.033965,0.051595,0.023024,0.028665,0.006488,-0.113759,0.051038,0.149041,0.173204,0.104387,-0.012197,-0.057015,-0.141593,0.084356,-0.188554,0.04246,-0.053422,-0.156489,-0.002282,0.018926,0.01527,-0.035541,-0.004749,0.077317,0.141629,0.122457,0.006756,-0.061487,0.015547,0.000509,0.096146,0.005903,0.051812,-0.038224,-0.164919,-0.00272,0.032786,0.011608,0.075525,-0.005014,-0.008041,-0.138706,0.003797,0.016293,0.038631,0.10509,-0.111621,0.033333,0.157007,0.07339,0.02243,-0.010704,-0.050308,-0.084426,0.040793,0.071274,0.00073,0.131513,0.109501,-0.006384,0.050297,-0.080599,0.062159,-0.077605,-0.097653,0.184517,-0.101916,0.040222,0.066199,0.105285,0.097752,-0.009796,-0.005255,-0.099233,0.069244,-0.074276,0.084916,0.025099,-0.02874,-0.111469,0.126541,0.078129,-0.139365,-0.158251,0.065109,0.130144,-0.085418,0.016406,-0.01232,-0.137655,-0.043318,-0.019347,-0.056267,-0.08516,0.020569,-0.009132,0.15617,-0.132914,-0.013312,0.129352,-0.071693,-0.048683,-0.104582,0.128061,0.030498,0.033417,0.106834,0.031746,-0.118328,-0.057787,-0.023293,-0.083257,-0.004048,EN,1,0
group_1479,0.092777,-0.037193,0.010887,-0.110334,-0.110361,-0.02924,-0.094552,-0.094269,0.065477,0.055867,0.023241,-0.126599,-0.020766,-0.131887,0.01202,-0.080606,-0.141575,-0.037104,-0.047216,-0.031599,-0.104532,-0.070773,-0.058449,-0.049468,0.100348,-0.10116,-0.169833,-0.037252,-0.135594,-0.121232,0.010957,-0.076179,0.005394,0.137313,-0.006074,-0.080897,0.039352,0.100125,-0.012369,0.141604,0.148143,-0.039508,0.021941,0.115642,0.024281,0.035165,0.037446,0.015166,-0.085848,0.050307,-0.172029,-0.085899,0.105244,-0.079338,0.085637,0.059688,-0.005486,0.07168,-0.164244,0.061851,-0.128813,-0.094021,-0.1061,-0.102102,0.063844,-0.041491,-0.093159,0.045173,-0.007391,0.012151,-0.141703,0.097742,0.018469,0.003095,-0.065069,-0.037132,-0.096164,0.073479,-0.097253,-0.096237,-0.082264,0.078438,-0.171679,-0.105564,0.059059,-0.023703,0.006482,0.097159,0.149664,-0.157982,0.064139,0.089524,-0.046183,-0.16339,-0.070925,0.063016,-0.077487,0.052241,-0.081628,-0.00219,-0.019325,-0.119506,0.10574,0.157579,0.044985,-0.040854,0.070405,-0.026335,-0.058546,-0.032154,-0.022078,0.157246,0.152475,-0.065097,-0.06453,0.048164,0.076163,0.147648,0.105568,0.078512,-0.086195,0.085499,-0.104477,0.084483,0.116311,-0.00136,-0.063552,0.153054,EN,0,0
dnaJ_2,0.078902,-0.042697,0.015918,-0.127607,-0.019194,-0.088876,0.085922,0.029389,-0.010378,-0.048462,0.025609,-0.001987,-0.119512,-0.081574,-0.057473,0.077937,0.056177,-0.042989,-0.044852,-0.026972,-0.134059,-0.036104,-0.163521,-0.048852,-0.02552,0.109173,0.033042,0.076453,-0.070205,-0.051174,-0.076803,-0.168099,-0.03016,0.086029,-0.061259,-0.087458,-0.109455,0.112563,-0.088693,0.002154,0.001705,-0.02754,0.079944,0.134948,-0.152252,-0.099577,-0.061963,-0.011369,0.006774,0.044132,-0.011107,0.030046,0.022641,0.084822,-0.00198,0.081505,0.170105,-0.022575,0.073437,-0.057867,0.033318,0.027054,0.048648,-0.030207,-0.034625,0.011973,0.046425,-0.069709,0.05748,0.133878,-0.14963,0.091427,-0.041782,0.057217,-0.118873,-0.172863,0.118888,0.027814,-0.127185,0.057353,0.176375,-0.082853,-0.160158,0.004002,0.016648,0.016889,0.066791,0.036851,0.051114,-0.04938,0.171752,0.055125,0.135372,-0.030115,-0.117278,-0.02564,-0.06603,-0.193685,0.05785,-0.00759,-0.00645,-0.027207,-0.043959,-0.116341,-0.004967,-0.066148,0.008867,0.125257,-0.02653,0.018563,0.022264,-0.045494,-0.039237,-0.138641,-0.095208,-0.063578,-0.038386,-0.136411,0.120137,0.081534,0.097023,-0.113546,0.010128,0.078386,-0.083494,-0.090629,-0.023785,-0.022085,EN,1,0
group_1728,-0.026203,0.024018,-0.033521,0.095417,0.081526,0.00888,-0.181406,-0.045412,0.003264,-0.146569,-0.064927,-0.010631,0.0708,-0.067712,0.083616,0.155794,-0.016105,0.068126,-0.041624,-0.168536,0.118664,-0.099832,0.063822,0.068684,-0.126838,0.028619,0.156343,-0.035318,-0.018112,0.117712,-0.138533,0.116982,0.060791,-0.024015,-0.13067,-0.054648,-0.016404,-0.085795,0.135138,-0.032725,0.037307,0.062125,0.18375,-0.064247,0.099486,-0.015363,-0.114561,-0.058597,-0.056734,-0.13407,0.119584,0.144785,-0.082498,-0.096542,-0.041456,0.075646,-0.09356,0.033446,-0.064161,0.026356,-0.15943,0.018782,-0.173511,0.074625,0.004862,-0.15087,-0.006326,0.059083,-0.005866,0.110385,0.011822,-0.093813,0.112427,-0.074034,-0.083161,0.127437,-0.16934,0.056605,0.051615,0.036725,0.032167,-0.060682,0.109048,0.020004,0.020961,-0.050681,0.0812,-0.078084,-0.00144,0.030716,0.123832,0.137604,0.100001,-0.031951,-0.055395,0.088627,-0.096098,-0.020673,-0.126544,-0.004575,0.107268,0.112573,0.145829,-0.046972,0.0833,0.063546,0.042031,-0.144115,0.008543,0.093122,0.147835,0.009682,-0.046256,0.047095,-0.090585,-0.128563,0.099641,0.024003,0.011286,-0.102484,-0.103961,0.025806,0.09194,0.023546,0.038998,0.10949,-0.049192,-0.043151,EN,0,0
fosB,0.027165,0.022184,-0.159133,-0.168815,0.133665,0.032644,-0.014823,-0.079221,0.145711,0.01506,-0.074463,0.029818,-0.090888,-0.15074,0.061453,0.113254,0.045111,0.00051,-0.046405,0.061964,-0.047785,-0.032497,0.17506,-0.007135,-0.152572,-0.004159,-0.066528,0.022532,-0.048903,-0.046106,-0.142451,-0.037961,0.07545,0.123882,-0.03745,-0.016463,-0.165741,0.034369,-0.05447,-0.058271,-0.008606,0.064139,0.088518,-0.136229,-0.159294,-0.119332,-0.022635,-0.033219,-0.011287,-0.144647,-0.043382,0.009188,-0.145741,-0.045966,-0.10393,0.115957,-0.083128,-0.050111,0.057535,0.006162,-0.088444,-0.15368,0.143503,0.112095,-0.113408,-0.096205,-0.039945,-0.1478,-0.051781,-0.039265,0.139771,0.073367,0.081435,-0.044187,0.097209,-0.114533,0.022748,0.122924,-0.019684,0.063637,0.159561,-0.050676,-0.028621,-0.024363,-0.083776,-0.024475,-0.073856,0.042045,0.041163,-0.078013,0.138001,-0.062924,0.074874,0.020633,-0.02786,-0.032253,-0.048601,0.013443,0.105332,0.035036,-0.112479,0.023131,-0.13834,-0.012087,-0.00221,-0.005232,0.1214,0.001072,-0.171714,0.06243,0.050801,-0.03199,0.021925,-0.155271,-0.128096,0.130091,0.19385,-0.180614,0.061678,-0.033827,-0.080953,-0.056638,-0.04748,-0.013143,-0.122765,-0.04011,-0.049304,-4.9E-05,EN,1,1
